x,y,z,intensity,beamNumber
-28.911304,0.8918219,-0.3421308,4.0,36.0
-27.401838,1.8440614,-0.315492,6.0,37.0
-26.13299,2.7155144,-0.30568913,5.0,38.0
-26.275892,-2.056293,-0.3199969,4.0,39.0
-24.98952,-1.0432894,-0.29080328,4.0,40.0
-24.096806,-0.12966523,-0.28991818,4.0,41.0
-23.108328,0.71628034,-0.2775868,5.0,42.0
-22.227156,1.4987917,-0.26882458,4.0,43.0
-21.419617,2.2283685,-0.26757777,4.0,44.0
-21.508438,-1.6797762,-0.27694082,5.0,45.0
-20.60736,-0.85711133,-0.25041467,5.0,46.0
-20.070337,-0.10517378,-0.25874406,3.0,47.0
-19.307945,0.60122937,-0.24165782,4.0,48.0
-18.629475,1.2588484,-0.22830836,4.0,49.0
-18.11104,1.8864661,-0.23646432,10.0,50.0
-18.176691,-1.416593,-0.24368739,4.0,51.0
-17.531979,-0.7264535,-0.22214279,4.0,52.0
-17.064999,-0.08664837,-0.21906199,5.0,53.0
-15.001797,-0.07425907,-0.21382606,4.0,54.0
-13.228869,-0.063224874,-0.18334688,4.0,55.0
-11.870889,-0.054903567,-0.16873263,12.0,56.0
-10.783168,-0.047792133,-0.1271481,3.0,57.0
-9.874992,-0.042717267,-0.15019691,4.0,58.0
-9.093703,-0.037885956,-0.13885517,3.0,59.0
-8.416796,-0.03366442,-0.12663911,4.0,60.0
-7.8360662,-0.030040912,-0.11603897,4.0,61.0
-5.6910768,-0.016452588,-0.063192755,6.0,62.0
-45.379692,-3.4043999,-0.4110205,14.0,27.0
-41.635464,-1.6036043,-0.35578817,5.0,28.0
-41.55969,-0.09193113,-0.49486473,4.0,29.0
-40.35139,1.3774891,-0.5642103,4.0,30.0
-36.63249,2.587609,-0.45554975,3.0,31.0
-33.841015,3.6312344,-0.391307,0.0,32.0
-34.702866,-2.6010346,-0.4549838,7.0,33.0
-32.21631,-1.2382694,-0.3895623,5.0,34.0
-30.462706,-0.062480852,-0.36269006,5.0,35.0
-28.832357,0.99015194,-0.33733934,4.0,36.0
-27.387335,1.9390463,-0.31604698,6.0,37.0
-26.067934,2.8007412,-0.3018306,6.0,38.0
-26.239256,-1.961305,-0.31764582,4.0,39.0
-24.96918,-0.9551925,-0.2899753,5.0,40.0
-24.089197,-0.04562005,-0.29040423,5.0,41.0
-23.113693,0.7970981,-0.27949902,5.0,42.0
-22.205963,1.5751746,-0.26818687,5.0,43.0
-21.38012,2.2996805,-0.26508093,5.0,44.0
-21.474562,-1.6017267,-0.27396318,5.0,45.0
-20.602331,-0.78494865,-0.250678,5.0,46.0
-20.070633,-0.035211116,-0.25978556,3.0,47.0
-19.309752,0.66865426,-0.24305956,4.0,48.0
-18.589365,1.3213198,-0.22483276,4.0,49.0
-18.116243,1.950828,-0.23869619,11.0,50.0
-18.185532,-1.353537,-0.2452497,4.0,51.0
-17.526533,-0.66502273,-0.22209626,5.0,52.0
-17.065248,-0.027175171,-0.21994734,5.0,53.0
-14.986193,-0.021910654,-0.21224022,4.0,54.0
-13.22512,-0.017119851,-0.18337327,4.0,55.0
-11.878929,-0.013598641,-0.17080505,11.0,56.0
-10.787249,-0.010266488,-0.12849216,3.0,57.0
-9.855609,-0.008224301,-0.14639181,4.0,58.0
-9.093837,-0.006232429,-0.1393264,3.0,59.0
-8.41692,-0.0043738037,-0.12707514,4.0,60.0
-7.840038,-0.00280276,-0.11750457,4.0,61.0
-5.7024126,0.0032321962,-0.06765446,5.0,62.0
-45.379692,-3.4043999,-0.4110205,14.0,27.0
-41.635464,-1.6036043,-0.35578817,5.0,28.0
-41.55969,-0.09193113,-0.49486473,4.0,29.0
-40.35139,1.3774891,-0.5642103,4.0,30.0
-36.63249,2.587609,-0.45554975,3.0,31.0
-33.841015,3.6312344,-0.391307,0.0,32.0
-34.702866,-2.6010346,-0.4549838,7.0,33.0
-32.21631,-1.2382694,-0.3895623,5.0,34.0
-30.462706,-0.062480852,-0.36269006,5.0,35.0
-28.832357,0.99015194,-0.33733934,4.0,36.0
-27.387335,1.9390463,-0.31604698,6.0,37.0
-26.067934,2.8007412,-0.3018306,6.0,38.0
-26.239256,-1.961305,-0.31764582,4.0,39.0
-24.96918,-0.9551925,-0.2899753,5.0,40.0
-24.089197,-0.04562005,-0.29040423,5.0,41.0
-23.113693,0.7970981,-0.27949902,5.0,42.0
-22.205963,1.5751746,-0.26818687,5.0,43.0
-21.38012,2.2996805,-0.26508093,5.0,44.0
-21.474562,-1.6017267,-0.27396318,5.0,45.0
-20.602331,-0.78494865,-0.250678,5.0,46.0
-20.070633,-0.035211116,-0.25978556,3.0,47.0
-19.309752,0.66865426,-0.24305956,4.0,48.0
-18.589365,1.3213198,-0.22483276,4.0,49.0
-18.116243,1.950828,-0.23869619,11.0,50.0
-18.185532,-1.353537,-0.2452497,4.0,51.0
-17.526533,-0.66502273,-0.22209626,5.0,52.0
-17.065248,-0.027175171,-0.21994734,5.0,53.0
-14.986193,-0.021910654,-0.21224022,4.0,54.0
